ticker,Cluster,roe,debt_to_equity,profit_margins,beta,market_cap,net_income,total_equity,total_debt,scaled_roe,scaled_debt_to_equity,mercado,k
MCD,0,0.30727,64.8515,0.32206002,0.504,216545984512,8223000000.0,-3797000000.0,58979000000.0,0.12138209365971533,0.09520497116702076,USA,5
PFE,0,0.12168,69.703,0.16844,0.465,155613528064,8031000000.0,88497000000.0,124899000000.0,0.021482746598488874,0.10371627015106832,USA,5
ORCL,3,0.69241995,452.534,0.21079999,1.531,815725871104,12443000000.0,20969000000.0,147392000000.0,0.3287005295973415,0.7753413554570382,USA,5
AAPL,1,1.49814,154.486,0.24295999,1.094,3829117222912,93736000000.0,56950000000.0,308030000000.0,0.7624033525357473,0.2524565487792255,USA,6
MSFT,0,0.33280998,32.661,0.36146,1.023,3845548408832,101832000000.0,343479000000.0,275524000000.0,0.13512974884564552,0.038731103302240145,USA,6
GOOGL,0,0.34829,11.481,0.31118,1.0,2971275624448,100118000000.0,325084000000.0,125172000000.0,0.14346233083009904,0.0015736648848172045,USA,6
AMZN,0,0.2477,47.808,0.105399996,1.281,2341054709760,59248000000.0,285970000000.0,338924000000.0,0.08931676630135948,0.06530446117328384,USA,6
NVDA,5,1.09417,10.584,0.52414,2.123,4567983980544,72880000000.0,79327000000.0,32274000000.0,0.5449544639516445,0.0,USA,6
TSLA,0,0.08177,16.823,0.063439995,2.086,1429249589248,7130000000.0,73680000000.0,48390000000.0,0.0,0.010945479616916987,USA,6
META,0,0.40647998,25.406,0.39992002,1.203,1785027362816,62360000000.0,182637000000.0,93417000000.0,0.1747848213064492,0.02600318943451571,USA,6
BRK-B,0,0.099139996,18.95,0.16997999,0.77,1076361297920,88995000000.0,651655000000.0,502226000000.0,0.009349917877343156,0.014677012738440055,USA,6
JPM,0,0.16211,64.8515,0.34524,1.127,852506181632,58471000000.0,344758000000.0,3658056000000.0,0.043245398690117655,0.09520497116702076,USA,6
V,0,0.51755,65.017,0.52158,0.897,679019151360,19743000000.0,39137000000.0,55374000000.0,0.234571568847143,0.09549531847854499,USA,6
JNJ,0,0.30212,64.686,0.25004998,0.392,454309052416,14066000000.0,71490000000.0,108614000000.0,0.11860995271804115,0.09491462385549652,USA,6
WMT,0,0.23375,68.719,0.03079,0.671,813788889088,19436000000.0,97692000000.0,163131000000.0,0.08180776316808666,0.10198997556170361,USA,6
UNH,0,0.21653,75.577,0.05037,0.478,326223626240,14405000000.0,102591000000.0,195687000000.0,0.07253858510679928,0.11402140675465389,USA,6
LLY,4,0.86291003,217.891,0.25911,0.461,752907124736,10590000000.0,14271600000.0,64443300000.0,0.4204718948240038,0.3636920248347827,USA,6
XOM,0,0.118310004,14.442,0.09404001,0.484,482855387136,33680000000.0,270606000000.0,182869000000.0,0.01966874584414357,0.006768337932692055,USA,6
MA,1,1.7694701,240.919,0.44926,0.967,524733677568,12874000000.0,6515000000.0,41566000000.0,0.90845486300537,0.4040915287005248,USA,6
PG,0,0.31242,69.861,0.18952999,0.364,356385718272,15974000000.0,52284000000.0,72947000000.0,0.12415423460138952,0.10399345972944192,USA,6
HD,2,1.9395399,580.591,0.08863,1.001,393237430272,14806000000.0,6640000000.0,89479000000.0,1.0,0.9999999999999999,USA,6
BAC,0,0.0946,64.8515,0.28514,1.334,375087792128,27132000000.0,295559000000.0,2965960000000.0,0.006906129763433036,0.09520497116702076,USA,6
DIS,0,0.1146,37.152,0.12219,1.542,202213621760,4972000000.0,105522000000.0,90697000000.0,0.017671725653429955,0.04660995391284668,USA,6
NFLX,0,0.43548,67.866,0.24579,1.593,490076012544,8711631000.0,24743567000.0,28886807000.0,0.19039494611254063,0.10049350271137021,USA,6
ADBE,0,0.52875,56.542,0.30012,1.49,145145364480,5560000000.0,14105000000.0,16125000000.0,0.24060030254554135,0.08062708001831556,USA,6
